# z: 3 h: 0.358 N: 10000000 Nfile: 100
# 1: L 2:PJ!=0 3:error
2 0.3430918599999999 3.533274115834852e-05
3 0.09272293066666662 1.8514126269976645e-05
4 0.020334413333333322 6.072159128369309e-06
5 0.00394785053333333 1.5913927146182997e-06
6 0.0007085590533333332 3.5756039408350494e-07
7 0.0001204106933333333 7.387733466282417e-08
8 1.965528133333333e-05 1.4060340670280884e-08
9 3.1111950666666667e-06 2.5481523239770043e-09
10 4.805913200000001e-07 4.4288825374836653e-10
11 7.278567600000003e-08 7.450873106311333e-11
12 1.0844884666666668e-08 1.2206573200311227e-11
13 1.593883333333333e-09 1.9579366545743703e-12
14 2.3152758666666675e-10 3.08772752125544e-13
15 3.329425133333336e-11 4.787883937314702e-14
16 4.745684733333335e-12 7.335693966825104e-15
17 6.712478133333335e-13 1.1034045550140046e-15
18 9.428683133333333e-14 1.6442253468284595e-16
19 1.3162810666666668e-14 2.4350589060704074e-17
20 1.8276460666666662e-15 3.5738826440494294e-18
21 2.5249464666666675e-16 5.186637409385342e-19
22 3.472741666666667e-17 7.509432069021884e-20
