# z: 3 h: 0.358 N: 10000000 
# 1:L 2:PJ!=0 
2 0.0344047
3 0.00233971
4 0.000127499
5 7.03487e-06
6 1.42731e-07
7 8.96968e-09
8 -1.14303e-09
9 -2.05091e-10
10 -9.28135e-11
