# z: 3 h: 0.358 N: 10000000 
# 1:L 2:PJ!=0 
2 0.0342679
3 0.00234418
4 0.000132038
5 6.83565e-06
6 3.28402e-07
7 -6.95714e-09
8 -9.83876e-10
9 -1.63418e-10
10 -8.43506e-12
