# z: 3 h: 0.358 N: 10000000 
# 1:L 2:PJ!=0 
2 0.0338882
3 0.002365
4 0.000127639
5 6.38131e-06
6 4.4703e-07
7 2.86847e-08
8 5.67506e-10
9 3.67591e-11
10 9.64254e-11
