# z: 3 h: 0.358 N: 10000000 
# 1:L 2:PJ!=0 
2 0.0344222
3 0.00236937
4 0.000132804
5 7.41889e-06
6 4.5606e-07
7 4.03694e-08
8 5.11463e-09
9 7.24837e-10
10 6.94739e-11
