# z: 3 h: 0.358 N: 10000000 
# 1:L 2:PJ!=0 
2 0.0337955
3 0.0022977
4 0.000125497
5 5.72497e-06
6 3.65724e-07
7 1.12168e-08
8 -4.98765e-10
9 3.15793e-12
10 5.13704e-12
