# z: 3 h: 0.358 N: 10000000 
# 1:L 2:PJ!=0 
2 0.0345
3 0.00241294
4 0.000145467
5 8.01401e-06
6 3.71793e-07
7 3.23541e-08
8 1.75075e-09
9 5.81811e-10
10 9.60906e-11
