# z: 3 h: 0.358 N: 10000000 
# 1:L 2:PJ!=0 
2 0.0342556
3 0.00232544
4 0.000136035
5 7.12406e-06
6 4.0049e-07
7 3.36799e-08
8 8.20643e-10
9 3.56857e-10
10 4.88494e-11
