# z: 3 h: 0.358 N: 10000000 
# 1:L 2:PJ!=0 
2 0.0341701
3 0.00231911
4 0.000127393
5 5.83615e-06
6 3.87712e-07
7 2.15206e-09
8 2.20237e-09
9 -1.91427e-10
10 7.333e-11
