# z: 3 h: 0.358 N: 10000000 
# 1:L 2:PJ!=0 
2 0.0342177
3 0.00239397
4 0.000130209
5 7.05778e-06
6 2.69547e-07
7 4.02515e-08
8 1.8898e-09
9 6.07765e-10
10 2.77727e-11
