# z: 3 h: 0.358 N: 10000000 
# 1:L 2:PJ!=0 
2 0.0341478
3 0.00232766
4 0.000127921
5 5.56829e-06
6 2.26447e-07
7 -1.32948e-09
8 1.10242e-09
9 2.62748e-10
10 6.01882e-11
