# z: 3 h: 0.358 N: 10000000 
# 1:L 2:PJ!=0 
2 0.0338402
3 0.00238183
4 0.000129293
5 7.18187e-06
6 4.30197e-07
7 1.96765e-08
8 -2.0667e-09
9 -1.51061e-10
10 -7.98296e-12
