# z: 3 h: 0.358 N: 10000000 
# 1:L 2:con_vertex
2 0.0157096
3 0.00195035
4 0.000245627
5 3.10682e-05
6 3.8064e-06
7 4.79565e-07
8 5.83603e-08
9 7.61057e-09
10 9.43926e-10
11 1.16883e-10
