# z: 3 h: 0.358 N: 10000000 
# 1:L 2:con_vertex
2 0.0157049
3 0.00197052
4 0.000245314
5 3.09504e-05
6 3.88218e-06
7 4.93229e-07
8 6.15501e-08
9 7.63341e-09
10 9.74694e-10
11 1.18746e-10
