# z: 3 h: 0.358 N: 10000000 
# 1:L 2:con_vertex
2 0.0157101
3 0.00198437
4 0.000246894
5 3.09463e-05
6 3.92654e-06
7 4.97576e-07
8 6.12145e-08
9 7.67713e-09
10 9.44183e-10
11 1.20476e-10
