# z: 3 h: 0.358 N: 10000000 
# 1:L 2:con_vertex
2 0.0157358
3 0.00196795
4 0.000246047
5 3.08059e-05
6 3.85396e-06
7 4.81423e-07
8 6.0257e-08
9 7.36409e-09
10 9.49146e-10
11 1.15878e-10
