# z: 3 h: 0.358 N: 10000000 
# 1:L 2:con_vertex
2 0.0158346
3 0.00198774
4 0.000247424
5 3.05129e-05
6 3.89793e-06
7 4.86399e-07
8 6.07601e-08
9 7.50903e-09
10 9.40772e-10
11 1.17131e-10
