# z: 3 h: 0.358 N: 10000000 
# 1:L 2:con_vertex
2 0.0157687
3 0.00198007
4 0.000250774
5 3.07825e-05
6 3.94505e-06
7 4.93113e-07
8 6.16283e-08
9 7.58299e-09
10 9.59642e-10
11 1.19505e-10
