# z: 3 h: 0.358 N: 10000000 
# 1:L 2:con_vertex
2 0.0157925
3 0.00197113
4 0.000247203
5 3.13272e-05
6 3.90163e-06
7 4.738e-07
8 6.2495e-08
9 7.70172e-09
10 9.67572e-10
11 1.22185e-10
