# z: 3 h: 0.358 N: 10000000 
# 1:L 2:con_vertex
2 0.0158117
3 0.00196624
4 0.000249046
5 3.08574e-05
6 3.8828e-06
7 4.84063e-07
8 6.05579e-08
9 7.68028e-09
10 9.39892e-10
11 1.19583e-10
