# z: 3 h: 0.358 N: 10000000 
# 1:L 2:con_vertex
2 0.0156859
3 0.0019753
4 0.000246447
5 3.12373e-05
6 3.87339e-06
7 4.91979e-07
8 6.21471e-08
9 7.5761e-09
10 9.68449e-10
11 1.21271e-10
