# z: 3 h: 0.358 N: 10000000 
# 1:L 2:con_vertex
2 0.0157727
3 0.00196754
4 0.000247084
5 3.11539e-05
6 3.87002e-06
7 4.84027e-07
8 6.24061e-08
9 7.72348e-09
10 9.76138e-10
11 1.2524e-10
