# z: 3 h: 0.358 N: 10000000 
# 1:L 2:con_vertex
2 0.0156483
3 0.00196265
4 0.000243961
5 3.00145e-05
6 3.7789e-06
7 4.82258e-07
8 6.11344e-08
9 7.33223e-09
10 9.24274e-10
11 1.17991e-10
