# z: 3 h: 0.358 N: 10000000 
# 1:L 2:con_vertex
2 0.0157251
3 0.00197733
4 0.000248122
5 3.10663e-05
6 3.90013e-06
7 5.00795e-07
8 6.2726e-08
9 7.725e-09
10 9.38157e-10
11 1.19671e-10
