# z: 3 h: 0.358 N: 10000000 
# 1:L 2:con_vertex
2 0.0156689
3 0.00195901
4 0.000244848
5 3.09411e-05
6 3.87195e-06
7 4.86991e-07
8 6.08603e-08
9 7.50589e-09
10 9.20489e-10
11 1.14574e-10
