# z: 3 h: 0.358 N: 10000000 
# 1:L 2:con_vertex
2 0.0157426
3 0.00197072
4 0.000246908
5 3.09446e-05
6 3.90405e-06
7 4.8876e-07
8 6.06613e-08
9 7.72333e-09
10 9.95647e-10
11 1.22855e-10
