# z: 3 h: 0.358 N: 10000000 
# 1:L 2:con_vertex
2 0.0157706
3 0.00196706
4 0.000247063
5 3.08964e-05
6 3.88811e-06
7 4.85738e-07
8 6.11581e-08
9 7.40585e-09
10 9.44272e-10
11 1.21313e-10
