# z: 3 h: 0.358 N: 10000000 
# 1:L 2:con_vertex
2 0.0157828
3 0.00199054
4 0.000249184
5 3.08644e-05
6 3.91686e-06
7 4.87554e-07
8 6.19857e-08
9 7.74007e-09
10 9.56767e-10
11 1.22271e-10
