# z: 3 h: 0.358 N: 10000000 
# 1:L 2:con_vertex
2 0.0157498
3 0.00197128
4 0.000245012
5 3.0944e-05
6 3.96013e-06
7 4.79401e-07
8 5.99695e-08
9 7.38249e-09
10 9.61164e-10
11 1.20211e-10
