# z: 3 h: 0.358 N: 10000000 
# 1:L 2:con_vertex
2 0.0157198
3 0.00197211
4 0.000248297
5 3.11707e-05
6 3.93157e-06
7 4.90001e-07
8 6.15456e-08
9 7.48175e-09
10 9.63137e-10
11 1.249e-10
