# z: 3 h: 0.358 N: 10000000 
# 1:L 2:con_vertex
2 0.0157455
3 0.00198337
4 0.000246309
5 3.07049e-05
6 3.91177e-06
7 4.80777e-07
8 6.23462e-08
9 7.4726e-09
10 9.74648e-10
11 1.20083e-10
