# z: 3 h: 0.358 N: 10000000 
# 1:L 2:con_vertex
2 0.0158196
3 0.00197562
4 0.000249403
5 3.09523e-05
6 3.93998e-06
7 4.84005e-07
8 6.19116e-08
9 7.67915e-09
10 9.62979e-10
11 1.21361e-10
