# z: 3 h: 0.358 N: 10000000 
# 1:L 2:con_vertex
2 0.0156202
3 0.00196395
4 0.000244888
5 3.09934e-05
6 3.87117e-06
7 4.8577e-07
8 6.03546e-08
9 7.39366e-09
10 9.04121e-10
11 1.1577e-10
