# z: 3 h: 0.358 N: 10000000 
# 1:L 2:con_vertex
2 0.0158165
3 0.00200025
4 0.000250309
5 3.15251e-05
6 3.99338e-06
7 4.98636e-07
8 6.30929e-08
9 7.85096e-09
10 9.99683e-10
11 1.26736e-10
