# z: 3 h: 0.358 N: 10000000 
# 1:L 2:con_vertex
2 0.0158066
3 0.00197882
4 0.000249985
5 3.08884e-05
6 3.86528e-06
7 5.00475e-07
8 6.12909e-08
9 7.83483e-09
10 9.45375e-10
11 1.21287e-10
