# z: 3 h: 0.358 N: 10000000 
# 1:L 2:con_vertex
2 0.0156757
3 0.00196126
4 0.000247051
5 3.04931e-05
6 3.92677e-06
7 4.81783e-07
8 5.91397e-08
9 7.29731e-09
10 9.2559e-10
11 1.1902e-10
