# z: 3 h: 0.358 N: 10000000 
# 1:L 2:con_vertex
2 0.0157223
3 0.00198007
4 0.00024609
5 3.08491e-05
6 3.86176e-06
7 4.91026e-07
8 6.16009e-08
9 7.70953e-09
10 9.7555e-10
11 1.19652e-10
