# z: 3 h: 0.358 N: 10000000 
# 1:L 2:con_vertex
2 0.0155626
3 0.00194517
4 0.000241329
5 3.03215e-05
6 3.75041e-06
7 4.72613e-07
8 5.88195e-08
9 7.46372e-09
10 9.16413e-10
11 1.16972e-10
