# z: 3 h: 0.358 N: 10000000 Nfile: 1800
# 1: L 2:corr=0 3:error
2 0.01574359727777779 1.4975530384727843e-06
3 0.0019739863722222214 2.6612049578877254e-07
4 0.00024752817444444403 4.667387460290734e-08
5 3.102818183333329e-05 7.4020504259489985e-09
6 3.8899469555555545e-06 1.1485010169420859e-09
7 4.878296738888883e-07 1.7391463919800136e-10
8 6.117884594444458e-08 2.5437538441393674e-11
9 7.667645022222228e-09 3.774268183630929e-12
10 9.621698766666671e-10 5.267993601590108e-13
11 1.2051964611111125e-10 7.757744011145535e-14
