# z: 3 h: 0.358 N: 10000000 
# 1:L 2:PJ!=0 
2 0.0903191
3 0.011754
4 0.00127898
5 0.000124066
6 1.11052e-05
7 9.83268e-07
8 8.08916e-08
9 6.85878e-09
10 5.38173e-10
11 3.27257e-11
12 2.9012e-12
13 1.99678e-13
14 -8.44279e-15
