# z: 3 h: 0.358 N: 10000000 
# 1:L 2:PJ!=0 
2 0.0904614
3 0.0117865
4 0.00129425
5 0.000124524
6 1.1218e-05
7 9.46203e-07
8 7.29846e-08
9 6.84286e-09
10 4.33033e-10
11 2.25111e-11
12 1.03598e-12
13 2.35734e-13
14 -2.53196e-15
