# z: 3 h: 0.358 N: 10000000 
# 1:L 2:PJ!=0 
2 0.0902267
3 0.0117324
4 0.00129149
5 0.000126124
6 1.12956e-05
7 9.54879e-07
8 8.72054e-08
9 6.5574e-09
10 5.38007e-10
11 4.80034e-11
12 3.71418e-12
13 5.2081e-13
14 3.14362e-16
