# z: 3 h: 0.358 N: 10000000 
# 1:L 2:PJ!=0 
2 0.0897926
3 0.011767
4 0.00128304
5 0.000124258
6 1.10796e-05
7 9.28646e-07
8 7.61295e-08
9 6.53648e-09
10 4.85098e-10
11 4.31225e-11
12 2.71323e-12
13 1.66937e-13
14 -9.8605e-15
