# z: 3 h: 0.358 N: 10000000 
# 1:L 2:PJ!=0 
2 0.0902256
3 0.0117484
4 0.00127688
5 0.000124279
6 1.11827e-05
7 9.32062e-07
8 7.17906e-08
9 5.7389e-09
10 3.91707e-10
11 2.64821e-11
12 2.7267e-12
13 1.59981e-13
14 -6.13158e-15
