# z: 3 h: 0.358 N: 10000000 
# 1:L 2:PJ!=0 
2 0.0896629
3 0.0117774
4 0.00128789
5 0.0001255
6 1.14291e-05
7 9.63463e-07
8 8.10773e-08
9 6.0108e-09
10 5.30046e-10
11 3.03553e-11
12 1.48863e-12
13 4.34469e-14
14 -3.60422e-15
