# z: 3 h: 0.358 N: 10000000 
# 1:L 2:PJ!=0 
2 0.0894751
3 0.0116801
4 0.00126658
5 0.000123305
6 1.07806e-05
7 8.89208e-07
8 7.50248e-08
9 5.71681e-09
10 4.39688e-10
11 3.27433e-11
12 1.99842e-12
13 4.36187e-14
14 -2.13375e-14
