# z: 3 h: 0.358 N: 10000000 
# 1:L 2:PJ!=0 
2 0.0898084
3 0.0117111
4 0.0012844
5 0.000124538
6 1.13362e-05
7 9.52654e-07
8 7.77727e-08
9 5.71902e-09
10 5.53173e-10
11 3.08505e-11
12 2.56404e-12
13 3.96938e-13
14 -1.54876e-14
