# z: 3 h: 0.358 N: 10000000 
# 1:L 2:PJ!=0 
2 0.0902515
3 0.0117942
4 0.00128282
5 0.000124801
6 1.11484e-05
7 9.51685e-07
8 8.19036e-08
9 6.79846e-09
10 5.14942e-10
11 5.53274e-11
12 4.59565e-12
13 3.82197e-13
14 1.67579e-14
