# z: 3 h: 0.358 N: 10000000 
# 1:L 2:PJ!=0 
2 0.0897127
3 0.0117154
4 0.00127158
5 0.000122989
6 1.13269e-05
7 9.70522e-07
8 7.48589e-08
9 5.94418e-09
10 3.97531e-10
11 2.82689e-11
12 2.27534e-12
13 1.23649e-13
14 2.04753e-14
